id,group,average_speed,average_distance_per_frame,maximal_distance_traveled,average_change_in_pixels,average_angular_speed,total_distance_traveled,distance_traveled_bin,average_acceleration,time_elapsed_(hours),std_speed,std/mean,roaming_fraction,lifespan,drugged1,drugged2,worm_id
2988,58.0,0.13507674802036995,0.2701534960407399,64129.69224256226,-0.002224694104560623,1.9923107752063614,64129.69224256226,242.83895430638222,0.11866487430032052,348.5,0.1937345101040546,1.4342550656819106,0.01668520578420467,288.30611111111114,0,0,41
2989,59.0,0.06673483292752566,0.13346966585505132,64249.80714533847,0.0033370411568409346,1.8357372480375076,64249.80714533847,120.1149027762076,0.05932234467905291,354.5,0.12484905504990831,1.8708229207001232,0.006674082313681869,288.30611111111114,0,0,41
2990,60.0,0.07594990699815278,0.15189981399630556,64386.24129353373,-0.0033370411568409346,1.8978823648567886,64386.24129353373,136.43414819525788,0.06983534320491971,360.5,0.09572473537897906,1.2603667227835742,0.0,288.30611111111114,0,0,41
2991,61.0,0.11305162674806492,0.22610325349612984,64589.77000337864,0.004449388209121246,2.0905616060407777,64589.77000337864,203.52870984491165,0.09972313614805764,366.5,0.16117307246988208,1.4256590294720446,0.006674082313681869,288.30611111111114,0,0,41
2992,62.0,0.13022997750167084,0.2604599550033417,64823.923502926686,-0.0033370411568409346,2.084512073388386,64823.923502926686,234.15349954804697,0.12170058940570136,372.5,0.19013493500494488,1.4599936101694055,0.008898776418242492,288.30611111111114,0,0,41
2993,63.0,0.11105325350450718,0.22210650700901435,65023.6092484636,0.00778642936596218,2.074363586433606,65023.6092484636,199.68574553691724,0.09939024316483872,378.5,0.1526418005756206,1.3744919285001005,0.0,288.30611111111114,0,0,41
2994,64.0,0.11420338235990478,0.22840676471980956,65229.091016875966,-0.012235817575083427,2.046851931756508,65229.091016875966,205.48176841236273,0.11364643843950971,384.5,0.16506642836795443,1.4453725008577938,0.004449388209121246,288.30611111111114,0,0,41
2995,65.0,0.15600147350450033,0.31200294700900066,65509.58166623698,0.0011123470522803114,1.8659976614137324,65509.58166623698,280.49064936101786,0.14597282784517462,390.5,0.24578896440712306,1.5755554026868377,0.03114571746384872,288.30611111111114,0,0,41
2996,66.0,0.08499973661193033,0.16999947322386066,65662.4111926654,0.006674082313681869,1.6707762333502196,65662.4111926654,152.829526428417,0.09152056344745303,396.5,0.12523831258272852,1.4733964783268565,0.0,288.30611111111114,0,0,41
2997,67.0,0.07346856516500956,0.14693713033001912,65794.50767283223,-0.00778642936596218,1.428120107721061,65794.50767283223,132.0964801668306,0.0807135616396924,402.5,0.11237578807666841,1.5295764634068145,0.0,288.30611111111114,0,0,41
2998,68.0,0.0829476280863068,0.1658952561726136,65943.69424768945,0.002224694104560623,1.5690837816138075,65943.69424768945,149.18657485721633,0.08475803108585941,408.5,0.13976621463758626,1.6849935056872254,0.0,288.30611111111114,0,0,41
2999,69.0,0.0827027684620937,0.1654055369241874,66092.46626901641,-0.002224694104560623,1.528543346627917,66092.46626901641,148.77202132696402,0.08840472961544288,414.5,0.17229540306763325,2.083308772748082,0.0033370411568409346,288.30611111111114,0,0,41
3000,70.0,0.0680213957984108,0.1360427915968216,66214.76873866208,0.0,1.350349205376267,66214.76873866208,122.3024696456705,0.07170983162135189,420.5,0.11021331626196838,1.6202742529512064,0.0,288.30611111111114,0,0,41
3001,71.0,0.04259954767007133,0.08519909534014267,66291.51711089684,0.013348164627363738,1.3044572492384199,66291.51711089684,76.74837223475333,0.041794443434729156,426.5,0.06755827225130853,1.585891774592061,0.0,288.30611111111114,0,0,41
3002,72.0,0.0847405595205239,0.1694811190410478,66443.84054055222,-0.011123470522803115,1.930029984091477,66443.84054055222,152.32342965538555,0.0820249651304259,432.5,0.12038658040481202,1.4206488732901836,0.0,288.30611111111114,0,0,41
